 published_at , author ,source_name,title ,description
2021-12-28T20:11:00Z,Jeffry Bartash,MarketWatch,Economic Report: High inflation harkens back to the 1980s. Here is what’s similar – and different,"The yearly rate of U.S. inflation --- measured by the consumer price index --- climbed to 6.8% as of November to mark the sharpest increase in prices in 39 years. A lot has changed in the past 40 years, of course, and Wall Street DJIA economists say comparing…"
2022-01-20T15:02:00Z,Jacob Passy,MarketWatch,Economic Report: Existing-home sales decline amid listings shortage,"Economists had anticipated that home sales would remain flat, following the emergence of the omicron variant."
2022-01-20T13:42:00Z,Jeffry Bartash,MarketWatch,Economic Report: Philly Fed factory index rebounds in January,The Philadelphia Federal Reserve’s index of manufacturing conditions rose by 8 points in January to 23.2 n a sign that businesses are still growing despite the omicron outbreak and persistent labor and supply shortages.
2022-01-04T14:37:00Z,Mark DeCambre,MarketWatch,"Market Pulse: Dow, S&P 500 rise to fresh records to start Tuesday trade","The Dow and the S&P 500 head sharply higher Tuesday, after investors kicked off the new year by pushing those pair of major benchmarks to record finishes."
2022-01-18T13:41:00Z,Jeffry Bartash,MarketWatch,"Economic Report: New York economy sags in January, Empire State survey shows","The Empire State survey of business conditions nosedived to -0.7 points in January from 31.9 in the prior month, the New York Federal Reserve said, reflecting fresh strains from omicron as well as ongoing supply-chain bottlenecks."
2022-01-03T14:58:00Z,Greg Robb,MarketWatch,Economic Report: Final Markit U.S. manufacturing PMI revised slightly lower in December,"The final reading of the U.S. manufacturing purchasing managers index was adjusted slightly downward, to a reading of 57.7 from the ""flash"" reading of 57.8."
2022-01-13T13:37:00Z,Greg Robb,MarketWatch,Economic Report: Jobless claims jump to highest level since mid-November,"Initial jobless claims rose 23,000 to 230,000 in the week ended Jan. 8, the Labor Department said Thursday."
2022-01-05T13:18:00Z,Greg Robb,MarketWatch,Economic Report: Private-sector job growth surges in December: ADP,"Private payrolls rose by 807,000 in December, according to the ADP National Employment Report released Wednesday."
2022-01-21T14:07:31Z,Anushka Dutta,StockNews.com,3 Stocks Thriving Despite a Shaky Market Environment,"The Fed appears to be on track to increase interest rates as early as March. Furthermore, disappointing quarterly earnings reports from big U.S. banks have caused the Dow Jones Industrial..."
2022-01-14T14:25:00Z,Greg Robb,MarketWatch,Economic Report: Industrial production edges lower in December,"Industrial production fell 0.1% in December, the Federal Reserve reported Friday."
2022-01-02T23:35:00Z,Mike Murphy,MarketWatch,Futures Movers: Dow futures gain more than 100 points ahead of first trading day of 2022,"U.S. stock futures rose Sunday, indicating a positive start for Wall Street on the first trading day of 2022."
2022-01-13T16:23:00Z,Victor Reklaitis,MarketWatch,: Biden to order 500 million more COVID tests for U.S. and provide free masks,"President Joe Biden on Thursday announces that his administration is ordering another 500 million COVID-19 rapid tests kits for Americans, as he gives an update on the government's pandemic response."
2022-01-18T10:11:00Z,Steve Goldstein,MarketWatch,Market Snapshot: U.S. stock futures slump as 10-year yield tops 1.80%,"A fresh selloff in bonds sent U.S. stock futures lower on Tuesday after a three-day break, with the high-growth tech sector feeling the most heat."
2022-01-24T17:32:00Z,Mark DeCambre,MarketWatch,"Market Pulse: Panic-like selling emerges Monday as stock market tumbles and Dow skids over 1,000 points","Panic-like behavior takes hold on Wall Street, at least from a technical perspective, as the stock market's drop gathers steam on Monday."
2022-01-24T00:03:00Z,Mike Murphy,MarketWatch,Futures Movers: Stock futures rise Sunday after Wall Street’s worst week since 2020,The upcoming week will see a number of quarterly earnings reports from big-name companies and a meeting of the Federal Reserve.
2022-01-13T13:01:00Z,Greg Robb,MarketWatch,The Fed: Fed’s Harker sees ‘fair amount of tightening’ this year,Philadelphia Fed President Patrick Harker said Thursday he expects 'a fair amount of tightening in 2022.'
2022-01-20T13:37:00Z,Jeffry Bartash,MarketWatch,"Economic Report: U.S. jobless claims jump 55,000 to three-month high of 286,000 as omicron bites","Applications for U.S. unemployment benefits surged by 55,000 last week to 286,000 and hit a more than three-month high, suggesting the omicron outbreak spurred more layoffs or people not working in early January."
2022-01-03T11:00:00Z,"Bill Sarubbi, Contributor, 
 Bill Sarubbi, Contributor
 https://www.forbes.com/sites/greatspeculations/people/billsarubbi/",Forbes,Stocks To Trade In January,Here are the DJIA trading selections for the month.
2022-01-24T19:17:00Z,Tomi Kilgore,MarketWatch,"Market Pulse: Dow’s 7-day plunge produces most oversold reading in nearly 2 years, but is it safe to buy?","The Dow Jones Industrial Average's seven-day plunge has produced the most oversold reading in a key technical indicator in nearly two years, but as history suggests, oversold doesn't necessarily mean over."
2022-01-06T14:40:00Z,Mark DeCambre,MarketWatch,Market Pulse: Tech stocks pop higher early Thursday as stock market struggles to recover from worst selloff in months to start 2022,"U.S. stock benchmarks trade mixed Thursday morning, with tech extending declines after the worst daily drubbing for the segment of the market in months."
