 published_at , author ,source_name,title ,description
2021-12-27T18:15:00Z,,Reuters,"GoDaddy, Alibaba, Travel Stocks - Reuters","The S&P 500 was on track for a record closing high on Monday, as a strong retail sales report underscored the strength of the U.S. economy and overshadowed worries from Omicron-driven flight cancellations that hit stocks in the travel sector."
2022-01-05T18:01:00Z,,Reuters,"Adobe, Alibaba, Casting Health, Wayfair, Salesforce - Reuters","Wall Street's main indexes were mixed on Wednesday ahead of minutes from the Federal Reserve's December meeting, as investors swapped technology stocks for cyclicals that stand to benefit from a high interest rate environment."
2022-01-05T15:59:00Z,,Reuters,"Salesforce, AT&T, Alibaba, Wayfair - Reuters","Wall Street's main indexes were mixed on Wednesday ahead of minutes from the Federal Reserve's December meeting, as investors swapped technology stocks for cyclicals that stand to benefit from a high interest rate environment."
2022-01-20T12:46:00Z,noreply@blogger.com (Unknown),Blogspot.com,EXCLUSIVE TikTok owner ByteDance's revenue growth slowed to 70% in 2021 - sources,"<table><tr><td></td></tr><tr><td>Tik Tok logos are seen on smartphones in front of a displayed ByteDance logo in this illustration taken November 27, 2019. REUTERS/Dado Ruvic/Illustration/File Photo</td></tr>
</table>TikTok owner ByteDance saw its  revenue g…"
2022-01-05T09:43:00Z,,Reuters,"Stocks break four-day winning streak as Tencent, Alibaba slip - Reuters","Emerging market stocks broke a four-day winning streak on Wednesday as regulatory fines hit heavyweights Tencent and Alibaba, dragging tech stocks, while worries about inflation and tighter U.S. monetary policy also weighed."
2022-01-14T12:21:00Z,,Reuters,U.S.-listed China stocks pick up momentum after a bruising 2021 - Reuters,"U.S.-listed China shares rose before the opening bell on Friday, enjoying a robust rally at the start of the year as fewer jarring regulatory headlines from Beijing spurred investors to pick up battered names including Alibaba, JD.com and Baidu."
2022-01-04T21:34:00Z,,Reuters,Charlie Munger's Daily Journal nearly doubles stake in China's Alibaba - Reuters,"Daily Journal Corp <a href=""https://www.reuters.com/companies/DJCO.O"" target=""_blank"">(DJCO.O)</a>, the publishing and technology company in which Warren Buffett's longtime business partner Charlie Munger is chairman, said it has nearly doubled its stake in C…"
2022-01-05T03:55:00Z,,Reuters,"China's market regulator fines Alibaba, Tencent for failing to report deals - Reuters","China's top market regulator said on Wednesday it has fined units of Alibaba Group Holding Ltd <a href=""https://www.reuters.com/companies/9988.HK"" target=""_blank"">(9988.HK)</a>, Tencent Holdings Ltd <a href=""https://www.reuters.com/companies/0700.HK"" target=""…"
2022-01-18T11:05:00Z,,Reuters,EXCLUSIVE U.S. examining Alibaba's cloud unit for national security risks - sources - Reuters,"The Biden administration is reviewing e-commerce giant Alibaba's cloud business to determine whether it poses a risk to U.S. national security, according to three people briefed on the matter, as the government ramps up scrutiny of Chinese technology companie…"
2021-12-31T12:38:00Z,noreply@blogger.com (Unknown),Blogspot.com,XIAN BATTLES COVID-19 IN WORST OUTBREAK TO HIT A CHINESE CITY THIS YEAR,"The Xian Industrial and Technology Center in China reported  more than 100 new COVID-19 cases on Thursday, making the number of locally transmitted infections  the highest in any Chinese city this year. Xian reported 155 new local cases on December 29th. Dece…"
