 published_at , author ,source_name,title ,description
2022-01-08T11:01:06Z,Mariella Moon,Engadget,PayPal confirms it's exploring the launch of its own stablecoin,"PayPal has been expanding its cryptocurrency business since it opened trading to all users in 2020. It allowed US customers to check out with cryptocurrency and increased its crypto buy limit over the past year. In the future, it might also offer a stablecoin…"
2022-01-12T14:23:00Z,,Reuters,"Novavax, Hyzon Motors, PayPal, Infosys - Reuters","U.S. stock index futures rose on Wednesday after largely in-line consumer prices data eased some concerns about faster-than-expected interest rate hikes, with big technology stocks leading the gains after a bruising selloff at the start of the year."
2022-01-14T17:24:03Z,Tim De Chant,Ars Technica,"PayPal stole users’ money after freezing, seizing funds, lawsuit alleges",User policies “cannot be used as a ‘license to steal.’”
2022-01-08T02:11:00Z,msmash,Slashdot.org,PayPal Explores Launch of Own Stablecoin in Crypto Push,"PayPal is exploring the launch of its own stablecoin as part of its cryptocurrency push, according to the company, which confirmed the development after evidence of the move was discovered inside its iPhone app. From a report: ""We are exploring a stablecoin; …"
2022-01-14T16:45:00Z,msmash,Slashdot.org,PayPal Faces Lawsuit For Freezing Customer Accounts and Funds,Three PayPal users who've allegedly had their accounts frozen and funds taken by the company without explanation have filed a federal lawsuit against the online payment service. From a report: The plaintiffs -- two users from California and one from Chicago -…
2022-01-11T14:40:28Z,insider@insider.com (Adriana Nunez),Business Insider,PayPal mulling proprietary stablecoin to help drive platform growth,"PayPal confirmed it's looking into developing a stablecoin, an asset class with unique crypto benefits that can help drive volume."
2022-01-26T14:45:00Z,Zacks Equity Research,Zacks.com,PayPal (PYPL) to Report Q4 Earnings: What's in the Cards?,"PayPal's (PYPL) fourth-quarter results are likely to reflect the impacts of the growing adoption of Venmo, solid P2P momentum and cryptocurrency strength amid the coronavirus pandemic."
2022-01-21T14:39:00Z,insider@insider.com (Adriana Nunez),Business Insider,Google snags former PayPal exec to sharpen payments strategy and widen financial scope,Google hired former PayPal executive Arnold Goldberg to head its payments division—part of the tech giant's aim to broaden its financial services.
2022-01-05T20:05:00Z,msmash,Slashdot.org,"Venmo, PayPal and Cash App To Report Payments of $600 or More To IRS This Year","schwit1 writes: Millions of small business owners who rely on payment apps like Venmo, PayPal and Cash App could be subject to a new tax law that just took effect in January. Beginning this year, third-party payment processors will be required to report a use…"
2022-01-20T23:20:00Z,BeauHD,Slashdot.org,Google Hires PayPal Vet to Reset Strategy After Its Banking Retreat,Alphabet's Google has hired former PayPal executive Arnold Goldberg to run its payments division and set a new course for the business after it scrapped a push into banking. Bloomberg reports: The move is part of a broader strategy to team up with a wider ran…
2022-01-24T17:30:00Z,Jake Peterson,Lifehacker.com,You Should Join This Class Action Lawsuit Against Venmo,"There’s no shortage of apps on the market to help you move and manage money, but simply using certain apps in particular doesn’t net you any funds. Usually.Read more..."
2022-01-10T16:34:41Z,Gabriel Erard,Hipertextual,PayPal fortalecería su relación con las criptomonedas con el lanzamiento de su propia ‘stablecoin’,"PayPal es una de las compañías que ha demostrado un nivel de interés creciente en el mundo de las criptomonedas, y parece estar lista para dar un paso más allá. La compañía se encuentra ""explorando"" la posibilidad de lanzar su propia stablecoin; es decir, una…"
2022-01-03T15:00:00Z,insider@insider.com (Adriana Nunez),Business Insider,"BNPL, super apps, and other key trends we're keeping an eye on in 2022","Our take on what BNPL, cryptos, super apps, and global digital expansion will look like in 2022—and what that means for key stakeholders."
2022-01-20T13:00:00Z,Caitlin Harrington,Wired,Why Big Tech Companies Have Been Quiet on Texas’ Abortion Law,"As the anniversary of Roe v. Wade nears, pressure is building from advocacy groups and workers themselves."
2022-01-14T00:11:20Z,Sean Hollister,The Verge,"School employee stole 3,000 Apple iPods earmarked for Native American kids","She ran a program that used iPods to teach reading and math to underprivileged Native American schoolkids living on tribal land. Now, 46-year-old Kristy Stock of New Mexico is getting 18 months in prison for stealing 3,000 of them."
2022-01-18T17:20:00Z,Axel Kannenberg,heise online,Commerzbank zieht sich aus Projekt für europäische Paypal-Alternative zurück,"Mit der ""European Payment Initiative"" (EPI) wollten europäische Banken Alternativen zu US-Bezahldiensten schaffen. Doch immer Geldhäuser ziehen nicht mehr mit."
2021-12-26T09:00:18Z,Anna Tims,The Guardian,And the awards for the worst customer service go to …,"Covid, Brexit and computers combined in 2021 to leave customers trapped in a Kafkaesque nightmareOnce upon a time there was a mouse mat. A mouse mat that threatened to undermine global efforts to avert nuclear warfare. The sales photo on Etsy showed a blamele…"
2022-01-15T14:00:55Z,Olivier,Journal du geek,PayPal développe sa propre cryptomonnaie,"PayPal travaille sur sa propre cryptomonnaie. Le service de paiement en ligne permet déjà d'utiliser des bitcoins et de l'ethereum pour payer, et même d'en échanger. Mais l'entreprise ne compte pas s'arrêter là.
PayPal développe sa propre cryptomonnaie"
2022-01-26T20:19:00Z,Tracey Ryniec,Zacks.com,Lessons from 7 Years of Stock Investing,"In this special 300th episode of the podcast, Tracey Ryniec and Kevin Cook look back at their biggest mistakes, and wins, in the topsy-turvy stock market."
2022-01-07T23:31:57Z,"Debbie Lord, Cox Media Group National Content Desk",WFTV Orlando,"Venmo, PayPal, Cash App must report payments of $600 or more to IRS",A change to an IRS rule for reporting transactions that are paid for using third-party payment services has gone into effect.
