 published_at , author ,source_name,title ,description
2022-01-18T18:21:00Z,Promit Mukherjee,Reuters,Coca-Cola's African subsidiary eyes more consolidation in continent - Reuters.com,"Coca-Cola Beverages Africa (CCBA), the biggest bottling unit of Coca-Cola in the continent, is eyeing further consolidation of the parent's bottling operations there, its chief executive said on Tuesday, as it prepares to go public."
2022-01-06T17:35:49Z,ahartmans@businessinsider.com (Avery Hartmans),Business Insider,Coca-Cola will launch a Fresca canned cocktail with the company behind Corona. It's part of a broader shift in the alcohol industry as hard seltzer's popularity fades.,Coca-Cola is one of several beverage-producers coming up with new ways to marry alcohol with popular soft drinks.
2022-01-06T18:15:00Z,Zacks Equity Research,Zacks.com,Constellation Brands' (STZ) Q3 Sales & Earnings Beat Estimates,"Constellation Brands' (STZ) Q3 results reflect continued strength in the beer business, aided by strong demand. The company enters partnership with Coca-Cola for FRESCA Mixed cocktails."
2022-01-17T00:04:00Z,,Reuters,Big brands call for global pact to cut plastic production - Reuters,"International brands including Coca Cola and PepsiCo called on Monday for a global pact to combat plastic pollution that includes cuts in plastic production, a key growth area for the oil industry."
2022-01-11T17:08:47Z,Ash Parrish,The Verge,Lego delays Overwatch 2 set as company reevaluates relationship with Activision Blizzard,Lego has delayed the release of an Overwatch 2-themed Lego set as the toymaker reviews its relationship with Overwatch 2 developer Activision Blizzard amid the company’s numerous lawsuits alleging widespread workplace harassment and discrimination.
2022-01-05T09:00:00Z,Thomas Hughes,MarketBeat,The Coca-Cola Company And PepsiCo Get Upgraded But Which Is The Better Buy?,"The Coca-Cola Company (NYSE: KO) and Pepsico (NASDAQ: PEP) both received bullish commentary and fresh, high price targets with the start of the new year but one is still clearly..."
2022-01-25T14:32:00Z,,Reuters,"Coca-Cola, Molson Coors to launch Simply-branded alcoholic drinks - Reuters","Coca-Cola Co <a href=""https://www.reuters.com/companies/KO.N"" target=""_blank"">(KO.N)</a> will launch Simply-branded alcoholic drinks in the United States this summer in partnership with beer giant Molson Coors Beverage Co <TAP.N, as the soda maker doubles dow…"
2022-01-05T15:59:00Z,,Reuters,"Salesforce, AT&T, Alibaba, Wayfair - Reuters","Wall Street's main indexes were mixed on Wednesday ahead of minutes from the Federal Reserve's December meeting, as investors swapped technology stocks for cyclicals that stand to benefit from a high interest rate environment."
2022-01-25T06:00:04Z,Mark Wilson,Fast Company,"The trolliest drop this year uses illegal logos from Coca-Cola, Walmart, Tesla, and Microsoft","These unlicensed F1 jackets by creative studio MSCHF are bait to trademark attorneys everywhere. 
In the 1970s, a printing company named Gemini Rising was ordered to stop selling posters that read “Enjoy Cocaine.” The design was deemed illegal. Why? Because “…"
2022-01-05T18:01:00Z,,Reuters,"Adobe, Alibaba, Casting Health, Wayfair, Salesforce - Reuters","Wall Street's main indexes were mixed on Wednesday ahead of minutes from the Federal Reserve's December meeting, as investors swapped technology stocks for cyclicals that stand to benefit from a high interest rate environment."
2022-01-11T20:36:00Z,,Reuters,H&R Block hires new top lawyer from cannabis producer Tilray - Reuters,"H&R Block Inc has recruited its new top lawyer from Tilray Inc, hiring Dara Redler, the Canadian cannabis producer's interim chief legal officer."
2022-01-05T19:51:00Z,Bryan Hayes,Zacks.com,Consumer Staples May Foreshadow What's To Come In 2022,Consumer Staples May Foreshadow What's To Come In 2022
2022-01-05T15:40:00Z,Tonya Garcia,MarketWatch,The Ratings Game: Coca-Cola upgraded as anticipation grows that IRS tax case will come to a close,"Coca-Cola has been upgraded twice in the past month, with analysts confident the beverage giant could handle a bad tax outcome"
2022-01-04T03:37:05Z,"info@hypebeast.com (HYPEBEAST), HYPEBEAST",HYPEBEAST,'Jujutsu Kaisen' Debuts a Coca-Cola Commercial,"Jujutsu Kaisen has launched an official collaboration with Coca-Cola, debuting a commercial for the new Jujutsu Kaisen 0 feature film, which recently premiered in theaters across Japan with the second-biggest opening in Japan box office history. The new studi…"
2022-01-06T16:29:00Z,Tonya Garcia,MarketWatch,: Coca-Cola partners with Constellation Brands to add alcohol to Fresca,Fresca Mixed joins the growing list of beverage brands that are branching out in the alcohol category.
2022-01-12T22:30:37Z,Erron Kelly,VentureBeat,Lego delaying Overwatch 2 set because of Activision workplace culture,Lego has indefinitely delayed the release of an Overwatch 2 themed set of bricks in response to the workplace culture at Activision Blizzard.
2022-01-01T13:27:00Z,,Reuters,"I was a misfit when I joined the Nuggets, says MVP Jokic - Reuters","Nikola Jokic struggled in the fledgling stages of his National Basketball Association's (NBA) career when he joined the Denver Nuggets and had to change his diet to become the league's most valuable player in 2021, the Serbian centre said."
2022-01-26T21:14:46Z,Gautam Goel,Substack.com,A critique of longtermism: why you shouldn't worry about the far future,Longtermism is an intellectual movement which has become increasingly popular in the Rationalist and Effective Altruism communities. Longtermism can be briefly summarized as the following set of beliefs: Humanity will eventually spread across the solar system…
2022-01-01T11:45:00Z,tmohamed@businessinsider.com (Theron Mohamed),Business Insider,Warren Buffett was invited to buy a stake in Dunkin' Donuts — but declined to get caught up in a takeover fight,"The sweet-toothed investor, whose company owns See's Candies and Dairy Queen, turned down a chance to own a chunk of the donut-shop chain in 1989."
2022-01-20T04:32:04Z,"info@hypebeast.com (HYPEBEAST), HYPEBEAST",HYPEBEAST,Coca-Cola Gets a Caffeine Update With New Coffee Mocha Flavor,"Coca-Cola is offering a new flavor later this month to add to its ready-to-drink coffee aisle. Coca-Cola with Coffee Mocha is set to join others in the caffeinated line-up including Dark Blend, Vanilla, Caramel and Vanilla Zero Sugar.The new flavor infuses Co…"
